Meeting,Committee,MotionN,Topic,Species,MotionDesc,Category,Timing,Ecosystem,How,Notes
December2023,SG/CMP/DH,35,NewAmendment,All,initiate amendment development,strategic,occasional,no,,for hire limited entry
December2023,SG/CMP/DH,36,NewAmendment,All,control date,strategic,occasional,no,,
December2023,SG,37,TimingTasks,All,develop finalize and request info,both,both,maybe,include ecosystem context in stock status letters,council input on stock status letters
December2023,CS,38,ResearchPriorities,All,adopt,strategic,occasional,yes,"collect social, economic, biological, and environmental information",
December2023,HABEBM,39,HEAP,All,approve meeting agenda,strategic,routine,yes,"approve HEAP agenda: EFH, offshore wind, river flow alteration, cirtizen science",
December2023,HABEBM,40,TimingTasks,All,develop finalize and request info,both,both,yes,review and further develop coral amendments,coral deepsea HAPC
December2023,SEDAR,41,SEDAR,Hogfish,approve assessment ToRs,strategic,occasional,maybe,request ecosystem ToR,
December2023,Council,42,AllocationReviewGuidelines,All,approve,strategic,occasional,no,,
March2024,CMP,3,PortMeetingsPlan,KingMackerel;SpanishMackerel,approve,strategic,occasional,maybe,"collect social, economic, biological, and environmental information",port meetings
March2024,CMP,4,TimingTasks,KingMackerel;SpanishMackerel,develop finalize and request info,strategic,occasional,no,,port meetings
March2024,SEDAR,5,SEDAR,RedSnapper,change to benchmark,strategic,occasional,maybe,request ecosystem ToR,
March2024,SEDAR,6,SEDAR,YellowtailSnapper,approve assessment ToRs,strategic,occasional,maybe,request ecosystem ToR,
March2024,SG,9,Amendment 48,Wreckfish,approve revised language,strategic,occasional,no,,
March2024,SG,10,Amendment 48,Wreckfish,approve subcommittee motions,strategic,occasional,no,,
March2024,SG,11,Amendment 48,Wreckfish,approve committee motions,strategic,occasional,no,,
March2024,SG,12,Amendment 55,Scamp;YellowmouthGrouper,approve purpose and need,strategic,routine,no,,
March2024,SG,13,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,tactical,routine,no,,allocations based on 2018-2022
March2024,SG,14,Amendment 55,Scamp;YellowmouthGrouper,remove to considered but rejected,tactical,routine,no,,
March2024,SG,15,Amendment 55,Scamp;YellowmouthGrouper,remove to considered but rejected,tactical,routine,no,,
March2024,SG,16,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,tactical,routine,maybe,evaluate whether spawning season timing shifts,rec season spawning closure
March2024,SG,17,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,tactical,routine,maybe,multispecies trip limit,trip limit
March2024,SG,18,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,tactical,routine,no,,commercial accountability measures
March2024,SG,19,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,tactical,routine,no,,rec accountability measures
March2024,SG,20,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,tactical,routine,maybe,multispecies catch limits,ABC TAC and ACLs
March2024,SG,21,Amendment 46,AllSnapperGrouper,approve amendment further development,strategic,routine,no,,
March2024,SG,22,TimingTasks,AllSnapperGrouper,develop finalize and request info,both,both,maybe,develop management strategies for discard reduction,management strategies for discard reduction
June2024,Council,17,NewAmendment,All,initiate amendment development,strategic,occasional,maybe,request electronic reporting of ecosystem information,Southeast For-Hire Integrated Electronic Reporting (SEFHIER)
June2024,Council,18,NewAmendment,All,delay amendment,strategic,occasional,no,,"for hire limited entry, need permit data"
June2024,HABEBM,19,HEAP,All,approve meeting agenda,strategic,routine,yes,"approve HEAP agenda: EFH, offshore wind, other EBM",
June2024,HABEBM,20,TimingTasks,All,develop finalize and request info,strategic,routine,yes,develop and consider coral and shrimp amendments,"coral HAPC, coral and shrimp areas"
